fullname,LastName,FirstName,Date,Start,Pos,Min,SoTA,GA,Saves,PSxG,PKatt,PKA,PKm,PassAtt,Throws,AvgLen,GKAtt,GKAvgLen,C,GkID
Bernd Leno,Leno,Bernd,3/7/2020,1,GK,90,6,0,6,0.8,0,0,0,22,5,30.5,9,38.2,0,3
Bernd Leno,Leno,Bernd,2/23/2020,1,GK,90,5,2,3,2.5,0,0,0,17,3,26.6,9,57.9,0,3
Bernd Leno,Leno,Bernd,2/16/2020,1,GK,90,2,0,2,0.2,0,0,0,21,5,21.6,3,32.0,0,3
Bernd Leno,Leno,Bernd,2/2/2020,1,GK,90,2,0,2,0.5,0,0,0,28,5,28.7,12,43.8,0,3
Bernd Leno,Leno,Bernd,1/21/2020,1,GK,90,8,2,6,2.8,1,1,0,22,5,32.6,9,54.4,0,3
Bernd Leno,Leno,Bernd,1/18/2020,1,GK,90,3,1,2,1.0,0,0,0,28,7,25.8,7,26.3,0,3
Bernd Leno,Leno,Bernd,1/11/2020,1,GK,90,2,1,1,0.3,0,0,0,26,8,26.1,10,28.4,0,3
Bernd Leno,Leno,Bernd,1/1/2020,1,GK,90,4,0,4,0.2,0,0,0,32,8,27.4,8,51.0,0,3
Bernd Leno,Leno,Bernd,12/29/2019,1,GK,90,4,2,2,1.1,0,0,0,28,6,31.6,8,28.6,0,3
Bernd Leno,Leno,Bernd,12/26/2019,1,GK,90,4,1,3,2.1,0,0,0,21,6,28.7,7,42.6,0,3
Bernd Leno,Leno,Bernd,12/21/2019,1,GK,90,0,0,0,0.0,0,0,0,25,3,26.0,11,41.3,0,3
Bernd Leno,Leno,Bernd,12/15/2019,1,GK,90,7,3,4,1.8,0,0,0,17,5,28.5,9,29.3,0,3
Bernd Leno,Leno,Bernd,12/9/2019,1,GK,90,4,1,3,0.7,0,0,0,38,7,22.6,8,21.8,0,3
Bernd Leno,Leno,Bernd,12/5/2019,1,GK,90,9,2,7,1.8,0,0,0,32,12,26.1,6,25.2,0,3
Bernd Leno,Leno,Bernd,12/1/2019,1,GK,90,8,2,6,1.8,0,0,0,22,3,33.0,7,37.9,0,3
Bernd Leno,Leno,Bernd,11/23/2019,1,GK,90,5,2,2,1.4,1,0,0,17,2,27.6,14,28.0,0,3
Bernd Leno,Leno,Bernd,11/9/2019,1,GK,90,7,2,5,1.6,0,0,0,32,9,30.1,11,22.4,0,3
Bernd Leno,Leno,Bernd,11/2/2019,1,GK,90,8,1,7,1.7,0,0,0,24,6,29.5,5,32.4,0,3
Bernd Leno,Leno,Bernd,10/27/2019,1,GK,90,4,2,2,1.3,1,1,0,17,5,29.8,4,17.5,0,3
Bernd Leno,Leno,Bernd,10/21/2019,1,GK,90,2,1,1,0.9,0,0,0,32,5,24.0,7,27.0,0,3
Bernd Leno,Leno,Bernd,10/6/2019,1,GK,90,2,0,2,0.3,0,0,0,24,2,39.4,11,62.9,0,3
Bernd Leno,Leno,Bernd,9/30/2019,1,GK,90,4,1,3,1.2,0,0,0,21,1,42.7,11,53.2,0,3
Bernd Leno,Leno,Bernd,9/22/2019,1,GK,90,9,2,7,1.6,0,0,0,25,10,29.4,8,12.6,0,3
Bernd Leno,Leno,Bernd,9/15/2019,1,GK,90,10,2,8,2.1,1,1,0,17,8,28.4,16,27.4,0,3
Bernd Leno,Leno,Bernd,9/1/2019,1,GK,90,9,2,7,3.5,1,1,0,22,10,32.6,2,16.0,0,3
Bernd Leno,Leno,Bernd,8/24/2019,1,GK,90,5,3,2,2.3,1,1,0,22,10,16.5,10,24.9,0,3
Bernd Leno,Leno,Bernd,8/17/2019,1,GK,90,4,1,3,1.0,0,0,0,22,9,23.0,13,27.5,0,3
Bernd Leno,Leno,Bernd,8/11/2019,1,GK,90,2,0,2,0.4,0,0,0,28,13,25.5,8,33.5,0,3
Bernd Leno,Leno,Bernd,5/23/2021,1,GK,90,1,0,1,0.1,0,0,0,31,9,20.6,8,34.9,0,3
Bernd Leno,Leno,Bernd,5/19/2021,1,GK,90,6,1,5,1.3,0,0,0,21,6,27.8,9,39.3,0,3
Bernd Leno,Leno,Bernd,5/12/2021,1,GK,90,4,0,4,0.3,0,0,0,23,6,37.8,11,56.7,0,3
Bernd Leno,Leno,Bernd,5/9/2021,1,GK,90,1,1,0,0.5,0,0,0,23,8,26.3,6,42.7,0,3
Mathew Ryan,Ryan,Mathew,5/2/2021,1,GK,90,1,0,1,0.1,0,0,0,26,10,25.0,4,33.8,0,6
Bernd Leno,Leno,Bernd,4/23/2021,1,GK,90,1,1,1,0.1,0,0,0,18,4,25.3,4,29.3,0,3
Mathew Ryan,Ryan,Mathew,4/18/2021,1,GK,90,1,1,0,1.0,1,1,0,19,5,18.5,2,15.5,0,6
Bernd Leno,Leno,Bernd,4/11/2021,1,GK,90,2,0,2,0.1,0,0,0,24,2,26.9,6,31.3,0,3
Bernd Leno,Leno,Bernd,4/3/2021,1,GK,90,7,3,4,2.8,0,0,0,23,4,31.1,8,61.3,0,3
Bernd Leno,Leno,Bernd,3/21/2021,1,GK,90,5,3,2,2.0,0,0,0,19,1,25.3,6,39.2,0,3
Bernd Leno,Leno,Bernd,3/14/2021,1,GK,90,3,1,2,0.8,0,0,0,26,7,27.2,1,85.0,0,3
Bernd Leno,Leno,Bernd,3/6/2021,1,GK,90,5,1,4,1.5,0,0,0,35,13,23.7,6,34.5,0,3
Bernd Leno,Leno,Bernd,2/28/2021,1,GK,90,3,1,2,0.7,0,0,0,28,5,25.3,3,48.7,0,3
Bernd Leno,Leno,Bernd,2/21/2021,1,GK,90,3,1,2,1.5,0,0,0,33,6,29.3,11,28.6,0,3
Bernd Leno,Leno,Bernd,2/14/2021,1,GK,90,5,2,3,1.9,0,0,0,32,11,27.3,7,60.0,0,3
Mathew Ryan,Ryan,Mathew,2/6/2021,1,GK,90,8,1,7,2.6,0,0,0,14,6,20.6,3,34.3,0,6
Bernd Leno,Leno,Bernd,2/2/2021,1,GK,71,5,2,3,1.5,,1,,19,4,20.3,4,26.0,0,3
Runar Runarsson,Runarsson,Runar,2/2/2021,0,GKDM,16,2,0,2,0.1,0,0,0,10,2,28.2,1,15.0,0,5
Bernd Leno,Leno,Bernd,1/30/2021,1,GK,90,3,0,3,0.6,0,0,0,19,4,27.8,8,60.4,0,3
Bernd Leno,Leno,Bernd,1/26/2021,1,GK,90,5,1,4,1.1,0,0,0,23,5,28.6,9,54.3,0,3
Bernd Leno,Leno,Bernd,1/18/2021,1,GK,90,1,0,1,0.0,0,0,0,22,5,17.6,6,45.3,0,3
Bernd Leno,Leno,Bernd,1/14/2021,1,GK,90,2,0,2,0.4,0,0,0,25,7,20.8,6,14.5,0,3
Bernd Leno,Leno,Bernd,1/2/2021,1,GK,90,3,0,3,0.9,0,0,0,27,7,25.1,3,45.7,0,3
Bernd Leno,Leno,Bernd,12/29/2020,1,GK,90,2,0,2,0.3,0,0,0,37,8,28.5,7,52.1,0,3
Bernd Leno,Leno,Bernd,12/26/2020,1,GK,90,3,1,1,2.2,1,0,0,17,4,32.5,14,61.4,0,3
Bernd Leno,Leno,Bernd,12/19/2020,1,GK,90,2,2,1,0.5,0,0,0,21,6,22.0,8,28.4,0,3
Bernd Leno,Leno,Bernd,12/16/2020,1,GK,90,3,1,2,0.3,0,0,0,21,7,33.6,5,65.6,0,3
Bernd Leno,Leno,Bernd,12/13/2020,1,GK,90,2,1,2,0.3,0,0,0,44,5,30.0,11,48.5,0,3
Bernd Leno,Leno,Bernd,12/6/2020,1,GK,90,3,2,1,0.9,0,0,0,29,4,19.4,2,39.0,0,3
Bernd Leno,Leno,Bernd,11/29/2020,1,GK,90,5,2,3,1.8,0,0,0,17,5,23.7,3,23.3,0,3
Bernd Leno,Leno,Bernd,11/22/2020,1,GK,90,4,0,4,0.8,0,0,0,25,2,36.1,17,56.0,0,3
Bernd Leno,Leno,Bernd,11/8/2020,1,GK,90,5,3,3,1.6,0,0,0,24,1,21.2,1,16.0,0,3
Bernd Leno,Leno,Bernd,11/1/2020,1,GK,90,2,0,2,0.1,0,0,0,43,0,30.0,4,41.0,0,3
Bernd Leno,Leno,Bernd,10/25/2020,1,GK,90,2,1,1,0.3,0,0,0,24,6,18.4,2,36.5,0,3
Bernd Leno,Leno,Bernd,10/17/2020,1,GK,90,5,1,4,1.4,0,0,0,48,4,22.5,4,36.0,0,3
Bernd Leno,Leno,Bernd,10/4/2020,1,GK,90,2,1,1,0.4,0,0,0,37,2,23.1,9,36.0,0,3
Bernd Leno,Leno,Bernd,9/28/2020,1,GK,90,8,3,5,2.6,0,0,0,34,6,18.9,9,14.0,0,3
Bernd Leno,Leno,Bernd,9/19/2020,1,GK,90,2,1,1,0.7,0,0,0,32,6,19.2,5,23.2,0,3
Bernd Leno,Leno,Bernd,9/12/2020,1,GK,90,2,0,2,0.1,0,0,0,29,3,18.2,4,27.3,0,3
Aaron Ramsdale,Ramsdale,Aaron,5/22/2022,1,GK,90,2,1,1,1.0,0,0,0,19,2,26.9,5,16.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,5/16/2022,1,GK,90,4,2,3,2.4,0,0,0,30,5,38.4,9,66.7,0,2
Aaron Ramsdale,Ramsdale,Aaron,5/12/2022,1,GK,90,6,3,3,2.5,1,1,0,33,2,37.8,7,67.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,5/8/2022,1,GK,90,2,1,1,0.4,0,0,0,24,4,29.8,1,71.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,5/1/2022,1,GK,90,3,1,2,0.6,0,0,0,16,4,39.5,6,50.2,0,2
Aaron Ramsdale,Ramsdale,Aaron,4/23/2022,1,GK,90,5,1,4,2.0,1,0,1,39,5,30.1,8,62.8,0,2
Aaron Ramsdale,Ramsdale,Aaron,4/20/2022,1,GK,90,2,2,0,0.5,0,0,0,17,2,42.3,8,57.4,0,2
Aaron Ramsdale,Ramsdale,Aaron,4/16/2022,1,GK,90,3,1,2,0.6,0,0,0,39,8,24.5,2,6.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,4/9/2022,1,GK,90,3,2,1,1.4,0,0,0,23,4,22.7,3,12.3,0,2
Aaron Ramsdale,Ramsdale,Aaron,4/4/2022,1,GK,90,5,3,2,2.0,1,1,0,30,3,29.3,5,26.8,0,2
Bernd Leno,Leno,Bernd,3/19/2022,1,GK,90,1,0,1,0.5,0,0,0,13,1,38.0,11,54.2,0,3
Aaron Ramsdale,Ramsdale,Aaron,3/16/2022,1,GK,90,3,2,1,1.1,0,0,0,30,3,39.3,6,70.5,0,2
Aaron Ramsdale,Ramsdale,Aaron,3/13/2022,1,GK,90,3,0,3,0.5,0,0,0,37,3,33.9,1,78.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,3/6/2022,1,GK,90,7,2,5,1.6,0,0,0,34,6,32.8,2,79.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,2/24/2022,1,GK,90,2,1,1,0.5,0,0,0,25,3,30.1,3,21.7,0,2
Aaron Ramsdale,Ramsdale,Aaron,2/19/2022,1,GK,90,2,1,1,0.2,0,0,0,37,5,37.4,1,74.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,2/10/2022,1,GK,90,4,0,4,0.3,0,0,0,23,7,40.2,9,60.9,0,2
Aaron Ramsdale,Ramsdale,Aaron,1/23/2022,1,GK,90,1,0,1,0.1,0,0,0,32,4,33.0,5,48.8,0,2
Aaron Ramsdale,Ramsdale,Aaron,1/1/2022,1,GK,90,2,2,0,1.7,1,1,0,28,2,56.1,9,71.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,12/26/2021,1,GK,90,2,0,2,0.9,0,0,0,29,5,28.7,3,60.3,0,2
Aaron Ramsdale,Ramsdale,Aaron,12/18/2021,1,GK,90,2,1,1,1.2,1,1,0,32,6,33.8,8,67.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,12/15/2021,1,GK,90,1,0,1,0.4,0,0,0,21,3,28.6,6,70.2,0,2
Aaron Ramsdale,Ramsdale,Aaron,12/11/2021,1,GK,90,6,0,6,1.6,0,0,0,42,1,31.8,3,69.7,0,2
Aaron Ramsdale,Ramsdale,Aaron,12/6/2021,1,GK,90,5,2,3,1.3,0,0,0,35,8,32.8,7,38.6,0,2
Aaron Ramsdale,Ramsdale,Aaron,12/2/2021,1,GK,90,10,3,7,3.2,1,1,0,36,10,29.2,4,58.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,11/27/2021,1,GK,90,5,0,5,0.4,0,0,0,17,4,31.5,0,,0,2
Aaron Ramsdale,Ramsdale,Aaron,11/20/2021,1,GK,90,9,4,5,3.1,0,0,0,31,4,27.7,5,46.4,0,2
Aaron Ramsdale,Ramsdale,Aaron,11/7/2021,1,GK,90,1,0,1,0.1,0,0,0,32,4,28.8,4,22.5,0,2
