Season,Tour,Date,Time,Opponent,HoAw,ArsenalScore,OpponentScore,Stadium,Attendance,Coach,Referee,MatchID
2018/19,20,2018-12-29,2024-03-25T18:30:00.000Z,Liverpool,away,1,5,Anfield,53326,Unai Emery,Michael Oliver,57
2018/19,21,2019-01-01,2024-03-25T16:00:00.000Z,Fulham,home,4,1,Emirates Stadium,59887,Unai Emery,Graham Scott,58
2018/19,22,2019-01-12,2024-03-25T13:30:00.000Z,West Ham,away,0,1,London Stadium,59946,Unai Emery,Jonathan Moss,59
2018/19,23,2019-01-19,2024-03-25T18:30:00.000Z,Chelsea,home,2,0,Emirates Stadium,59979,Unai Emery,Anthony Taylor,60
2018/19,24,2019-01-29,2024-03-25T20:45:00.000Z,Cardiff,home,2,1,Emirates Stadium,59933,Unai Emery,Mike Dean,61
2018/19,25,2019-02-03,2024-03-25T17:30:00.000Z,Man City,away,1,3,Etihad Stadium,54483,Unai Emery,Martin Atkinson,62
2018/19,26,2019-02-09,2024-03-25T16:00:00.000Z,Huddersfield,away,2,1,John Smith's Stadium,24182,Unai Emery,Jonathan Moss,63
2018/19,27,2019-02-24,2024-03-25T15:05:00.000Z,Southampton,home,2,0,Emirates Stadium,59877,Unai Emery,Graham Scott,64
2018/19,28,2019-02-27,2024-03-25T20:45:00.000Z,Bournemouth,home,5,1,Emirates Stadium,59618,Unai Emery,Chris Kavanagh,65
2018/19,29,2019-03-02,2024-03-25T13:30:00.000Z,Tottenham,away,1,1,Wembley Stadium,81332,Unai Emery,Anthony Taylor,66
2018/19,30,2019-03-10,2024-03-25T17:30:00.000Z,Man Utd,home,2,0,Emirates Stadium,60000,Unai Emery,Jonathan Moss,67
2018/19,32,2019-04-01,2024-03-25T21:00:00.000Z,Newcastle,home,2,0,Emirates Stadium,59869,Unai Emery,Anthony Taylor,68
2018/19,33,2019-04-07,2024-03-25T15:05:00.000Z,Everton,away,0,1,Goodison Park,39400,Unai Emery,Kevin Friend,69
2018/19,34,2019-04-15,2024-03-25T21:00:00.000Z,Watford,away,1,0,Vicarage Road,20480,Unai Emery,Craig Pawson,70
2018/19,35,2019-04-21,2024-03-25T17:00:00.000Z,Crystal Palace,home,2,3,Emirates Stadium,59929,Unai Emery,Jonathan Moss,71
2018/19,31,2019-04-24,2024-03-25T20:45:00.000Z,Wolves,away,1,3,Molineux Stadium,31436,Unai Emery,Stuart Attwell,72
2018/19,36,2019-04-28,2024-03-25T13:00:00.000Z,Leicester,away,0,3,King Power Stadium,32037,Unai Emery,Michael Oliver,73
2018/19,37,2019-05-05,2024-03-25T17:30:00.000Z,Brighton,home,1,1,Emirates Stadium,59965,Unai Emery,Anthony Taylor,74
2018/19,38,2019-05-12,2024-03-25T16:00:00.000Z,Burnley,away,3,1,Turf Moor,21461,Unai Emery,Mike Dean,75
2019/20,1,2019-08-11,2024-03-25T15:00:00.000Z,Newcastle,away,1,0,St James' Park,47635,Unai Emery,Martin Atkinson,76
2019/20,2,2019-08-17,2024-03-25T13:30:00.000Z,Burnley,home,2,1,Emirates Stadium,60214,Unai Emery,Mike Dean,77
2019/20,3,2019-08-24,2024-03-25T18:30:00.000Z,Liverpool,away,1,3,Anfield,53298,Unai Emery,Anthony Taylor,78
2019/20,4,2019-09-01,2024-03-25T17:30:00.000Z,Tottenham,home,2,2,Emirates Stadium,60333,Unai Emery,Martin Atkinson,79
2019/20,5,2019-09-15,2024-03-25T17:30:00.000Z,Watford,away,2,2,Vicarage Road,21360,Unai Emery,Anthony Taylor,80
2019/20,6,2019-09-22,2024-03-25T17:30:00.000Z,Aston Villa,home,3,2,Emirates Stadium,60331,Unai Emery,Jonathan Moss,81
2019/20,7,2019-09-30,2024-03-25T21:00:00.000Z,Man Utd,away,1,1,Old Trafford,73201,Unai Emery,Kevin Friend,82
2019/20,8,2019-10-06,2024-03-25T15:00:00.000Z,Bournemouth,home,1,0,Emirates Stadium,60326,Unai Emery,Martin Atkinson,83
2019/20,9,2019-10-21,2024-03-25T21:00:00.000Z,Sheff Utd,away,0,1,Bramall Lane,30775,Unai Emery,Mike Dean,84
2019/20,10,2019-10-27,2024-03-25T17:30:00.000Z,Crystal Palace,home,2,2,Emirates Stadium,60345,Unai Emery,Martin Atkinson,85
2019/20,11,2019-11-02,2024-03-25T16:00:00.000Z,Wolves,home,1,1,Emirates Stadium,60383,Unai Emery,Michael Oliver,86
2019/20,12,2019-11-09,2024-03-25T18:30:00.000Z,Leicester,away,0,2,King Power Stadium,32209,Unai Emery,Chris Kavanagh,87
2019/20,13,2019-11-23,2024-03-25T16:00:00.000Z,Southampton,home,2,2,Emirates Stadium,60295,Unai Emery,Stuart Attwell,88
2019/20,14,2019-12-01,2024-03-25T15:00:00.000Z,Norwich,away,2,2,Carrow Road,27067,Freddie Ljungberg,Paul Tierney,89
2019/20,15,2019-12-05,2024-03-25T21:15:00.000Z,Brighton,home,1,2,Emirates Stadium,60164,Freddie Ljungberg,Graham Scott,90
2019/20,16,2019-12-09,2024-03-25T21:00:00.000Z,West Ham,away,3,1,London Stadium,59936,Freddie Ljungberg,Mike Dean,91
2019/20,17,2019-12-15,2024-03-25T17:30:00.000Z,Man City,home,0,3,Emirates Stadium,60031,Freddie Ljungberg,Paul Tierney,92
2019/20,18,2019-12-21,2024-03-25T13:30:00.000Z,Everton,away,0,0,Goodison Park,39336,Freddie Ljungberg,Kevin Friend,93
2019/20,19,2019-12-26,2024-03-25T16:00:00.000Z,Bournemouth,away,1,1,Vitality Stadium,10234,Mikel Arteta,Stuart Attwell,94
2019/20,20,2019-12-29,2024-03-25T15:00:00.000Z,Chelsea,home,1,2,Emirates Stadium,60309,Mikel Arteta,Craig Pawson,95
2019/20,21,2020-01-01,2024-03-25T21:00:00.000Z,Man Utd,home,2,0,Emirates Stadium,60328,Mikel Arteta,Chris Kavanagh,96
2019/20,22,2020-01-11,2024-03-25T13:30:00.000Z,Crystal Palace,away,1,1,Selhurst Park,25468,Mikel Arteta,Paul Tierney,97
2019/20,23,2020-01-18,2024-03-25T16:00:00.000Z,Sheff Utd,home,1,1,Emirates Stadium,60310,Mikel Arteta,Mike Dean,98
2019/20,24,2020-01-21,2024-03-25T21:15:00.000Z,Chelsea,away,2,2,Stamford Bridge,40577,Mikel Arteta,Stuart Attwell,99
2019/20,25,2020-02-02,2024-03-25T15:00:00.000Z,Burnley,away,0,0,Turf Moor,21048,Mikel Arteta,Chris Kavanagh,100
2019/20,26,2020-02-16,2024-03-25T17:30:00.000Z,Newcastle,home,4,0,Emirates Stadium,60188,Mikel Arteta,Lee Mason,101
2019/20,27,2020-02-23,2024-03-25T17:30:00.000Z,Everton,home,3,2,Emirates Stadium,60296,Mikel Arteta,Stuart Attwell,102
2019/20,29,2020-03-07,2024-03-25T16:00:00.000Z,West Ham,home,1,0,Emirates Stadium,60335,Mikel Arteta,Martin Atkinson,103
2019/20,28,2020-06-17,2024-03-25T21:15:00.000Z,Man City,away,0,3,Etihad Stadium,0,Mikel Arteta,Anthony Taylor,104
2019/20,30,2020-06-20,2024-03-25T16:00:00.000Z,Brighton,away,1,2,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105
2019/20,31,2020-06-25,2024-03-25T19:00:00.000Z,Southampton,away,2,0,St Mary's Stadium,0,Mikel Arteta,Graham Scott,106
2019/20,32,2020-07-01,2024-03-25T19:00:00.000Z,Norwich,home,4,0,Emirates Stadium,0,Mikel Arteta,Peter Bankes,107
2019/20,33,2020-07-04,2024-03-25T18:30:00.000Z,Wolves,away,2,0,Molineux Stadium,0,Mikel Arteta,Michael Oliver,108
2019/20,34,2020-07-07,2024-03-25T21:15:00.000Z,Leicester,home,1,1,Emirates Stadium,0,Mikel Arteta,Chris Kavanagh,109
2019/20,35,2020-07-12,2024-03-25T17:30:00.000Z,Tottenham,away,1,2,Tottenham Hotspur Stadium,0,Mikel Arteta,Michael Oliver,110
2019/20,36,2020-07-15,2024-03-25T21:15:00.000Z,Liverpool,home,2,1,Emirates Stadium,0,Mikel Arteta,Paul Tierney,111
2019/20,37,2020-07-21,2024-03-25T21:15:00.000Z,Aston Villa,away,0,1,Villa Park,0,Mikel Arteta,Chris Kavanagh,112
2019/20,38,2020-07-26,2024-03-25T17:00:00.000Z,Watford,home,3,2,Emirates Stadium,0,Mikel Arteta,Mike Dean,113
2020/21,1,2020-09-12,2024-03-25T13:30:00.000Z,Fulham,away,3,0,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114
2020/21,2,2020-09-19,2024-03-25T21:00:00.000Z,West Ham,home,2,1,Emirates Stadium,0,Mikel Arteta,Michael Oliver,115
2020/21,3,2020-09-28,2024-03-25T21:00:00.000Z,Liverpool,away,1,3,Anfield,0,Mikel Arteta,Craig Pawson,116
2020/21,4,2020-10-04,2024-03-25T15:00:00.000Z,Sheff Utd,home,2,1,Emirates Stadium,0,Mikel Arteta,Lee Mason,117
2020/21,5,2020-10-17,2024-03-25T18:30:00.000Z,Man City,away,0,1,Etihad Stadium,0,Mikel Arteta,Chris Kavanagh,118
2020/21,6,2020-10-25,2024-03-25T20:15:00.000Z,Leicester,home,0,1,Emirates Stadium,0,Mikel Arteta,Craig Pawson,119
2020/21,7,2020-11-01,2024-03-25T17:30:00.000Z,Man Utd,away,1,0,Old Trafford,0,Mikel Arteta,Mike Dean,120
2020/21,8,2020-11-08,2024-03-25T20:15:00.000Z,Aston Villa,home,0,3,Emirates Stadium,0,Mikel Arteta,Martin Atkinson,121
2020/21,9,2020-11-22,2024-03-25T17:30:00.000Z,Leeds,away,0,0,Elland Road,0,Mikel Arteta,Anthony Taylor,122
2020/21,10,2020-11-29,2024-03-25T20:15:00.000Z,Wolves,home,1,2,Emirates Stadium,0,Mikel Arteta,Michael Oliver,123
2020/21,11,2020-12-06,2024-03-25T17:30:00.000Z,Tottenham,away,0,2,Tottenham Hotspur Stadium,2000,Mikel Arteta,Martin Atkinson,124
2020/21,12,2020-12-13,2024-03-25T20:15:00.000Z,Burnley,home,0,1,Emirates Stadium,0,Mikel Arteta,Graham Scott,125
2020/21,13,2020-12-16,2024-03-25T19:00:00.000Z,Southampton,home,1,1,Emirates Stadium,0,Mikel Arteta,Paul Tierney,126
2020/21,14,2020-12-19,2024-03-25T18:30:00.000Z,Everton,away,1,2,Goodison Park,2000,Mikel Arteta,Andre Marriner,127
2020/21,15,2020-12-26,2024-03-25T18:30:00.000Z,Chelsea,home,3,1,Emirates Stadium,0,Mikel Arteta,Michael Oliver,128
2020/21,16,2020-12-29,2024-03-25T19:00:00.000Z,Brighton,away,1,0,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,129
2020/21,17,2021-01-02,2024-03-25T21:00:00.000Z,West Brom,away,4,0,The Hawthorns,0,Mikel Arteta,Martin Atkinson,130
2020/21,18,2021-01-14,2024-03-25T21:00:00.000Z,Crystal Palace,home,0,0,Emirates Stadium,0,Mikel Arteta,Andre Marriner,131
2020/21,19,2021-01-18,2024-03-25T21:00:00.000Z,Newcastle,home,3,0,Emirates Stadium,0,Mikel Arteta,David Coote,132
2020/21,20,2021-01-26,2024-03-25T21:15:00.000Z,Southampton,away,3,1,St Mary's Stadium,0,Mikel Arteta,Kevin Friend,133
2020/21,21,2021-01-30,2024-03-25T18:30:00.000Z,Man Utd,home,0,0,Emirates Stadium,0,Mikel Arteta,Michael Oliver,134
2020/21,22,2021-02-02,2024-03-25T19:00:00.000Z,Wolves,away,1,2,Molineux Stadium,0,Mikel Arteta,Craig Pawson,135
2020/21,23,2021-02-06,2024-03-25T13:30:00.000Z,Aston Villa,away,0,1,Villa Park,0,Mikel Arteta,Chris Kavanagh,136
2020/21,24,2021-02-14,2024-03-25T17:30:00.000Z,Leeds,home,4,2,Emirates Stadium,0,Mikel Arteta,Stuart Attwell,137
2020/21,25,2021-02-21,2024-03-25T17:30:00.000Z,Man City,home,0,1,Emirates Stadium,0,Mikel Arteta,Jonathan Moss,138
2020/21,26,2021-02-28,2024-03-25T13:00:00.000Z,Leicester,away,3,1,King Power Stadium,0,Mikel Arteta,Paul Tierney,139
2020/21,27,2021-03-06,2024-03-25T13:30:00.000Z,Burnley,away,1,1,Turf Moor,0,Mikel Arteta,Andre Marriner,140
2020/21,28,2021-03-14,2024-03-25T17:30:00.000Z,Tottenham,home,2,1,Emirates Stadium,0,Mikel Arteta,Michael Oliver,141
