Sead Kolasinac,Kolasinac,Sead,9/17/2017,1,WB,90,0,0,0,0,1,1,1,0,75,4,2,2,0.0,0.0,0.0,45,59,3,45,2,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,9/17/2017,1,CB,90,0,0,0,0,1,0,0,0,75,2,3,2,0.0,0.0,0.0,50,63,3,37,0,Defender,1,43
Alexandre Lacazette,Lacazette,Alexandre,9/17/2017,1,FW,65,0,0,0,0,2,1,0,0,22,0,0,1,0.8,0.8,0.0,8,15,0,11,0,Forward,0,10
Nacho Monreal,Monreal,Nacho,9/17/2017,1,CB,90,0,0,0,0,1,0,0,0,72,3,4,2,0.1,0.1,0.0,50,57,5,40,2,Defender,0,21
Shkodran Mustafi,Mustafi,Shkodran,9/17/2017,1,CB,90,0,0,0,0,0,0,0,0,57,2,2,0,0.0,0.0,0.0,34,43,2,23,0,Defender,0,8
Aaron Ramsey,Ramsey,Aaron,9/17/2017,1,CM,90,0,0,0,0,2,0,0,0,64,3,3,2,0.2,0.2,0.0,42,53,3,46,3,Midfielder,0,5
Danny Welbeck,Welbeck,Danny,9/17/2017,1,AM,72,0,0,0,0,3,0,0,0,33,0,2,0,0.4,0.4,0.0,17,22,1,19,1,Midfielder,0,13
Granit Xhaka,Xhaka,Granit,9/17/2017,1,CM,90,0,0,0,0,1,0,0,0,89,4,2,2,0.0,0.0,0.0,56,75,7,48,0,Midfielder,0,44
Mohamed Elneny,Elneny,Mohamed,9/17/2017,0,CM,11,0,0,0,0,0,0,1,0,10,0,1,0,0.0,0.0,0.0,8,9,2,5,0,Midfielder,0,49
Alexis Sanchez,Sanchez,Alexis,9/17/2017,0,AM,25,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,10,15,0,14,0,Midfielder,0,41
Hector Bellerin,Bellerin,Hector,9/25/2017,1,WB,90,0,0,0,0,1,0,0,0,88,2,1,0,0.0,0.0,0.1,70,79,4,52,2,Defender,0,2
Mohamed Elneny,Elneny,Mohamed,9/25/2017,1,CM,90,0,0,0,0,1,0,0,0,82,0,0,0,0.0,0.0,0.1,72,78,9,68,1,Midfielder,0,49
Sead Kolasinac,Kolasinac,Sead,9/25/2017,1,WB,90,0,0,0,0,0,0,0,0,68,4,1,1,0.0,0.0,0.0,48,58,8,45,7,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,9/25/2017,1,CB,90,0,0,0,0,0,0,0,0,78,1,2,0,0.0,0.0,0.0,57,68,9,54,1,Defender,1,43
Alexandre Lacazette,Lacazette,Alexandre,9/25/2017,1,FW,82,2,0,1,1,3,1,0,0,32,0,0,0,1.5,0.7,0.0,15,21,1,20,2,Forward,0,10
Nacho Monreal,Monreal,Nacho,9/25/2017,1,CB,90,0,0,0,0,0,0,0,0,83,5,6,1,0.0,0.0,0.0,60,64,7,55,5,Defender,0,21
Shkodran Mustafi,Mustafi,Shkodran,9/25/2017,1,CB,90,0,0,0,0,1,1,0,0,76,0,1,3,0.1,0.1,0.0,53,62,1,45,0,Defender,0,8
Aaron Ramsey,Ramsey,Aaron,9/25/2017,1,AM,89,0,0,0,0,2,1,0,0,68,1,0,0,0.1,0.1,0.0,47,62,2,58,3,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,9/25/2017,1,AM,82,0,0,0,0,4,2,1,0,61,1,0,0,0.3,0.3,0.5,38,46,12,53,3,Midfielder,0,41
Granit Xhaka,Xhaka,Granit,9/25/2017,1,CM,90,0,0,0,0,3,0,0,0,85,1,0,0,0.1,0.1,0.0,65,76,10,58,1,Midfielder,0,44
Ainsley Maitland-Niles,Maitland-Niles,Ainsley,9/25/2017,0,AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Midfielder,0,38
Mesut Ozil,Ozil,Mesut,9/25/2017,0,AM,8,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,11,11,0,11,0,Midfielder,0,53
Hector Bellerin,Bellerin,Hector,10/1/2017,1,WB,90,0,0,0,0,1,0,0,0,65,2,0,2,0.0,0.0,0.0,43,56,6,35,4,Defender,0,2
Rob Holding,Holding,Rob,10/1/2017,1,CB,90,0,0,0,0,0,0,0,0,104,1,2,1,0.0,0.0,0.0,89,101,8,76,1,Defender,0,26
Alex Iwobi,Iwobi,Alex,10/1/2017,1,AM,70,1,0,0,0,3,3,0,0,53,1,0,0,0.5,0.5,0.1,39,43,4,48,3,Midfielder,0,50
Sead Kolasinac,Kolasinac,Sead,10/1/2017,1,WB,90,0,0,0,0,1,0,0,0,52,2,1,1,0.1,0.1,0.7,39,45,1,29,2,Defender,0,18
Alexandre Lacazette,Lacazette,Alexandre,10/1/2017,1,FW,70,0,0,0,0,4,1,0,0,28,0,0,0,0.2,0.2,0.2,15,19,1,19,0,Forward,0,10
Nacho Monreal,Monreal,Nacho,10/1/2017,1,CB,90,1,0,0,0,1,1,0,0,111,0,1,1,0.1,0.1,0.1,102,105,10,84,2,Defender,0,21
Shkodran Mustafi,Mustafi,Shkodran,10/1/2017,1,CB,90,0,0,0,0,1,0,0,0,105,2,2,1,0.2,0.2,0.0,87,92,6,73,0,Defender,0,8
Aaron Ramsey,Ramsey,Aaron,10/1/2017,1,CM,90,0,0,0,0,2,1,0,0,88,2,3,1,0.6,0.6,0.0,65,76,2,56,3,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,10/1/2017,1,AM,90,0,1,0,0,8,2,0,0,67,2,1,0,0.4,0.4,0.9,39,51,9,53,7,Midfielder,0,41
Granit Xhaka,Xhaka,Granit,10/1/2017,1,CM,82,0,0,0,0,3,0,0,0,109,2,1,2,0.1,0.1,0.1,84,102,17,83,8,Midfielder,0,44
Mohamed Elneny,Elneny,Mohamed,10/1/2017,0,CM,8,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,7,7,1,5,0,Midfielder,0,49
Hector Bellerin,Bellerin,Hector,10/14/2017,1,WB,90,0,0,0,0,1,0,0,0,80,1,1,1,0.1,0.1,0.0,56,71,5,51,3,Defender,0,2
Mohamed Elneny,Elneny,Mohamed,10/14/2017,1,CM,90,0,0,0,0,1,0,0,0,75,2,0,1,0.0,0.0,0.0,61,68,10,52,1,Midfielder,0,49
Alex Iwobi,Iwobi,Alex,10/14/2017,1,AM,90,0,0,0,0,1,1,0,0,69,1,0,1,0.3,0.3,0.3,52,61,9,50,11,Midfielder,0,50
Sead Kolasinac,Kolasinac,Sead,10/14/2017,1,WB,90,0,0,0,0,0,0,0,0,52,0,2,0,0.0,0.0,0.0,36,46,2,30,1,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,10/14/2017,1,CB,84,0,0,0,0,0,0,0,0,82,3,2,1,0.0,0.0,0.0,58,66,9,45,0,Defender,0,43
Alexandre Lacazette,Lacazette,Alexandre,10/14/2017,1,FW,67,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.0,15,27,1,17,2,Forward,0,10
Pert Mertesacker,Mertesacker,Pert,10/14/2017,1,CB,90,1,0,0,0,1,1,0,0,58,1,2,3,0.1,0.1,0.0,30,39,2,20,0,Defender,1,51
Nacho Monreal,Monreal,Nacho,10/14/2017,1,CB,90,0,0,0,0,1,0,0,0,67,3,1,2,0.0,0.0,0.0,48,56,6,44,1,Defender,0,21
Danny Welbeck,Welbeck,Danny,10/14/2017,1,AM,60,0,0,0,0,0,0,0,0,27,2,0,1,0.0,0.0,0.1,18,20,0,20,3,Midfielder,0,13
Granit Xhaka,Xhaka,Granit,10/14/2017,1,CM,90,0,1,0,0,2,2,0,0,80,2,0,0,0.1,0.1,0.1,55,72,10,52,0,Midfielder,0,44
Rob Holding,Holding,Rob,10/14/2017,0,CB,6,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,2,4,0,2,0,Defender,0,26
Mesut Ozil,Ozil,Mesut,10/14/2017,0,AM,30,0,0,0,0,1,1,0,0,17,0,1,0,0.3,0.3,0.3,8,12,3,12,3,Midfielder,0,53
Hector Bellerin,Bellerin,Hector,10/22/2017,1,WB,90,0,0,0,0,3,1,0,0,56,0,1,3,0.1,0.1,0.3,38,48,3,25,0,Defender,0,2
Sead Kolasinac,Kolasinac,Sead,10/22/2017,1,WB,90,0,0,0,0,3,0,0,0,91,1,2,1,0.1,0.1,0.0,64,82,4,49,2,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,10/22/2017,1,CB,90,0,0,0,0,0,0,1,0,72,2,0,0,0.0,0.0,0.1,58,63,7,42,2,Defender,0,43
Alexandre Lacazette,Lacazette,Alexandre,10/22/2017,1,FW,76,1,0,0,0,4,2,0,0,34,1,0,0,1.1,1.1,0.0,15,23,1,25,3,Forward,0,10
Pert Mertesacker,Mertesacker,Pert,10/22/2017,1,CB,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,44,47,1,26,0,Defender,1,51
Nacho Monreal,Monreal,Nacho,10/22/2017,1,CB,90,1,0,0,0,1,1,0,0,96,3,3,1,0.1,0.1,0.0,73,82,7,63,3,Defender,0,21
Mesut Ozil,Ozil,Mesut,10/22/2017,1,AM,81,1,1,0,0,1,1,0,0,64,1,0,1,0.3,0.3,1.0,49,57,5,44,3,Midfielder,0,53
Aaron Ramsey,Ramsey,Aaron,10/22/2017,1,CM,90,1,1,0,0,7,5,0,0,65,1,0,1,0.8,0.8,0.8,45,52,10,47,6,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,10/22/2017,1,AM,90,1,1,0,0,7,3,0,0,69,0,0,1,1.0,1.0,0.5,37,54,10,54,7,Midfielder,0,41
Granit Xhaka,Xhaka,Granit,10/22/2017,1,CM,90,0,0,0,0,4,1,0,0,111,3,2,2,0.1,0.1,0.0,84,101,12,71,2,Midfielder,0,44
Jack Wilshere,Wilshere,Jack,10/22/2017,0,AM,14,0,1,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.3,13,17,2,14,1,Midfielder,0,29
Hector Bellerin,Bellerin,Hector,10/28/2017,1,WB,90,0,0,0,0,2,0,0,0,97,1,0,0,0.4,0.4,0.1,73,88,5,64,3,Defender,0,2
Sead Kolasinac,Kolasinac,Sead,10/28/2017,1,WB,77,1,1,0,0,2,1,0,0,99,2,0,0,0.1,0.1,0.5,85,95,8,71,3,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,10/28/2017,1,CB,90,0,0,0,0,1,0,0,0,112,2,2,1,0.1,0.1,0.0,92,100,10,86,4,Defender,0,43
Alexandre Lacazette,Lacazette,Alexandre,10/28/2017,1,FW,80,0,0,0,0,1,1,0,0,28,1,0,1,0.1,0.1,0.1,18,24,2,18,0,Forward,0,10
Pert Mertesacker,Mertesacker,Pert,10/28/2017,1,CB,90,0,0,0,0,1,1,0,0,91,1,1,0,0.1,0.1,0.0,79,83,3,63,0,Defender,1,51
Nacho Monreal,Monreal,Nacho,10/28/2017,1,CB,90,0,0,0,0,1,0,0,0,124,0,1,0,0.0,0.0,0.4,108,120,10,91,3,Defender,0,21
Mesut Ozil,Ozil,Mesut,10/28/2017,1,AM,90,0,1,0,0,1,0,0,0,86,2,0,0,0.1,0.1,0.2,66,80,11,65,4,Midfielder,0,53
Aaron Ramsey,Ramsey,Aaron,10/28/2017,1,CM,90,1,0,0,0,3,1,0,0,77,3,1,0,0.6,0.6,0.4,55,65,6,54,1,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,10/28/2017,1,AM,90,0,0,0,0,3,1,0,0,72,2,1,0,0.1,0.1,0.3,39,60,6,61,4,Midfielder,0,41
Granit Xhaka,Xhaka,Granit,10/28/2017,1,CM,90,0,0,0,0,0,0,0,0,113,0,1,1,0.0,0.0,0.0,94,108,24,82,2,Midfielder,0,44
Rob Holding,Holding,Rob,10/28/2017,0,CB,13,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,3,4,0,3,0,Defender,0,26
Hector Bellerin,Bellerin,Hector,11/5/2017,1,WB,90,0,0,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.0,42,47,1,25,1,Defender,0,2
Alex Iwobi,Iwobi,Alex,11/5/2017,1,AM,77,0,0,0,0,2,1,0,0,40,0,0,1,0.1,0.1,0.0,27,32,3,35,2,Midfielder,0,50
Sead Kolasinac,Kolasinac,Sead,11/5/2017,1,WB,90,0,0,0,0,0,0,0,0,72,2,2,1,0.0,0.0,0.0,54,67,7,36,4,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,11/5/2017,1,CB,90,0,0,0,0,0,0,1,0,57,2,5,1,0.0,0.0,0.0,38,43,1,32,0,Defender,1,43
Nacho Monreal,Monreal,Nacho,11/5/2017,1,CB,90,0,0,0,0,0,0,1,0,60,1,6,0,0.0,0.0,0.0,43,50,4,40,0,Defender,0,21
Mesut Ozil,Ozil,Mesut,11/5/2017,1,AM,90,0,0,0,0,1,0,1,0,56,2,1,0,0.0,0.0,0.0,38,51,7,39,1,Midfielder,0,53
Aaron Ramsey,Ramsey,Aaron,11/5/2017,1,CM,90,0,1,0,0,1,1,0,0,52,3,1,0,0.1,0.1,0.1,38,43,3,37,1,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,11/5/2017,1,FW,90,0,0,0,0,1,0,1,0,45,1,0,0,0.0,0.0,0.1,27,37,6,37,0,Forward,0,41
Granit Xhaka,Xhaka,Granit,11/5/2017,1,CM,77,0,0,0,0,0,0,1,0,48,1,0,1,0.0,0.0,0.0,39,46,5,29,1,Midfielder,0,44
Alexandre Lacazette,Lacazette,Alexandre,11/5/2017,0,FW,35,1,0,0,0,1,1,1,0,11,0,0,0,0.1,0.1,0.0,7,10,0,8,1,Forward,0,10
