Date,ArsenalScore,OpponentScore,Attendance,MatchID,Start,Pos,Min,G,A,PK,PKA,S,SoT,YK,RK,Touches,Tackles,Ints,Blocks,xG,npxG,xAG,Passes,PassesA,PrgPas,Carries,PrgCar,PlayerID
2020-11-01,1,0,0,120,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,0,3,0,121,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-22,0,0,0,122,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,1,2,0,123,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06,0,2,2000,124,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13,0,1,0,125,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,1,1,0,126,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,1,2,2000,127,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,3,1,0,128,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,1,0,0,129,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,4,0,0,130,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,0,0,0,131,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,3,0,0,132,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,3,1,0,133,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,0,0,0,134,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,1,2,0,135,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,0,1,0,136,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,4,2,0,137,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,0,1,0,138,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,3,1,0,139,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,1,1,0,140,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,2,1,0,141,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,3,3,0,142,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,0,3,0,143,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,3,0,0,144,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18,1,1,0,145,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,0,1,0,146,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02,2,0,0,147,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-09,3,1,0,148,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,1,0,0,149,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19,3,1,6500,150,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-23,2,0,10000,151,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,0,2,16479,152,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-22,0,2,58729,153,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,0,5,52276,154,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,1,0,60000,155,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,1,0,21944,156,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26,3,1,59919,157,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,0,0,31266,158,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-18,2,2,59475,159,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22,3,1,59496,160,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-30,2,0,32209,161,,,,,,,,,,,,,,,,,,,,,,,,
